Scenario,Period,LoadLevel,CCGT1,CCGT2,CCGT3,CCGT4,CCGT5,CCGT6,CCGT7,Coal1,Coal2,Nuclear1,Nuclear2
sc2015,y2030,2030-01-01T01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-01T03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-01T05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-01T07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-01T09:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-01T11:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-01T13:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-01T15:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-01T17:00:00+01:00,0.0,0.0,1.0,0.2619686938393385,0.0,0.0,0.30707263530452605,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-01T19:00:00+01:00,0.0,0.0,1.0,0.27288405608264427,0.0,0.0,0.30707263530452605,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-01T21:00:00+01:00,0.0,0.0,1.0,0.27288405608264427,0.0,0.0,0.30707263530452605,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-01T23:00:00+01:00,0.0,0.0,1.0,0.27288405608264427,0.0,0.0,0.30707263530452605,0.0,0.0,1.0,1.0
sc2015,y2030,2030-01-02T01:00:00+01:00,0.0,0.0,1.0,0.27288405608264427,0.0,0.0,0.30707263530452605,0.0,0.0,1.0,1.0
